Time,Brunei Darussalam,Indonesia,Malaysia,Myanmar,Philippines,Thailand,Vietnam,China,Hong Kong,Taiwan,Japan,South Korea,Bangladesh,India,Pakistan,Sri Lanka,Iran,Israel,Kuwait,Saudi Arabia,United Arab Emirates,Canada,USA,Belgium & Luxembourg,Denmark,Finland,France,Germany,Italy,Netherlands,Norway,Rep Of Ireland,Russian Federation,Spain,Sweden,Switzerland,United Kingdom,Australia,New Zealand,Egypt,Mauritius,South Africa (Rep Of),Other
  2017 Nov,5258,231705,105404,11402,64826,39331,36964,251096,33174,25919,75348,52123,9023,86432,1816,9585,1402,1566,422,754,5592,10203,52454,2454,2785,3170,14210,28423,6425,7387,2480,1753,7084,5615,4425,9023,45133,81822,9349,388,2328,2200,49077
  2017 Oct,4202,221036,96015,11616,60194,61448,39013,245755,32964,33282,64624,53430,9555,120100,1552,9313,1423,2051,343,621,4922,7388,40428,2425,2942,2940,14082,27617,5280,7147,2232,1807,5459,5534,4054,9833,41920,90940,11834,403,765,2416,41394
  2017 Sep,5387,216278,90837,9888,52500,39692,40270,226978,31937,29364,69742,47602,11277,102262,1968,9322,2840,1528,555,883,5695,5999,36834,2500,2152,2076,11584,24858,6568,6902,1721,1657,4483,6101,2226,7272,42423,100987,12021,339,639,2638,41265
  2017 Aug,4610,217339,91135,10934,53539,40993,51866,357287,55265,42151,94900,60957,9652,91551,2159,11805,1724,1610,2124,1315,10315,7808,41163,3249,2321,1294,23815,26590,19114,10254,1704,1815,4933,11064,2443,8432,43467,75171,11197,373,998,2226,46621
  2017 Jul,5625,268010,87138,12619,58727,48620,71153,349654,54124,48487,63193,58326,11416,97125,4160,7806,1423,1807,1604,1427,9640,7924,53111,4055,4278,1618,18255,21206,6984,10462,3872,2229,4374,6321,4027,10967,38424,104873,15358,368,1205,2900,47240
  2017 Jun,5758,281171,102776,12144,62002,34623,62831,218118,32684,30655,52932,49487,9972,136478,1421,6806,1607,1171,576,640,6688,6217,52583,1741,1685,1885,9643,16274,4048,4859,2134,1545,3992,3305,2421,5201,27974,84840,11805,191,539,1936,32243
  2017 May,4645,220534,90335,11705,77671,47074,43434,232361,33784,31092,54012,52762,9548,172822,1383,8870,1115,1627,314,594,5125,7617,40789,1758,1671,1596,12333,17427,4337,5842,1387,1476,5123,3244,2079,6683,30066,71970,10261,260,619,2311,34241
  2017 Apr,4662,248048,94550,19610,81952,58504,39370,252135,53971,30142,46245,48829,8949,109303,1434,12363,922,1698,436,928,6122,7684,40662,2955,2977,2492,15681,30420,5450,6641,3041,1731,6616,4391,3662,11697,48170,93927,12447,342,1221,3789,44581
  2017 Mar,7835,256636,105372,12656,61816,47025,37887,264711,33561,27976,82293,43942,10218,85299,2050,7058,8000,1633,703,1111,8333,11493,52107,2678,3182,3101,14751,43618,5470,6755,2675,1738,8963,3866,4664,8197,58635,85040,8459,390,864,2759,44641
  2017 Feb,4379,208853,85058,9783,51160,38502,34586,268993,33169,38866,72654,60174,8788,75905,1522,6246,1704,1799,508,835,4834,11213,49370,2431,4099,3834,16851,40022,5320,6971,2990,1625,8949,3625,5726,9867,54456,71416,6928,312,908,1687,44092
  2017 Jan,5297,254634,84504,9902,46187,36813,35367,316805,34436,36187,53377,60247,9712,80062,1520,5931,1421,1630,1154,1065,4578,11225,51562,2336,3364,3929,12356,37068,6231,7187,2522,1706,12262,3529,6232,9079,46364,115930,10778,281,1142,3724,50843
  2016 Dec,10229,329994,128897,13691,68624,43619,35494,226020,36763,21454,62570,38601,10960,94323,1947,12307,1391,1441,779,809,7575,10047,50542,2166,2173,2750,11749,35176,5656,6200,2170,1432,7739,3592,4830,8513,39465,100849,9994,338,2394,5305,45566
  2016 Nov,5256,219845,101549,7648,55814,35520,33482,193984,30832,21568,64466,36314,9830,90734,1473,9161,1632,1729,365,1123,4803,9104,44971,2491,2273,2390,12615,28441,5425,6777,2440,1453,7286,4088,4142,8766,39718,73308,8529,350,2478,2092,39168
